# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 -nan -nan
1.00000 -nan -nan
2.00000 -nan -nan
3.00000 -nan -nan
4.00000 -nan -nan
5.00000 -nan -nan
6.00000 -nan -nan
7.00000 -nan -nan
8.00000 -nan -nan
9.00000 -nan -nan
10.00000 -nan -nan
11.00000 -nan -nan
12.00000 -nan -nan
13.00000 -nan -nan
14.00000 -nan -nan
15.00000 -nan -nan
16.00000 -nan -nan
17.00000 -nan -nan
18.00000 -nan -nan
19.00000 -nan -nan
20.00000 -nan -nan
21.00000 -nan -nan
22.00000 -nan -nan
23.00000 -nan -nan
24.00000 -nan -nan
25.00000 -nan -nan
26.00000 -nan -nan
27.00000 -nan -nan
28.00000 -nan -nan
29.00000 -nan -nan
30.00000 -nan -nan
31.00000 -nan -nan
32.00000 -nan -nan
33.00000 -nan -nan
34.00000 -nan -nan
35.00000 -nan -nan
36.00000 -nan -nan
37.00000 -nan -nan
38.00000 -nan -nan
39.00000 -nan -nan
40.00000 -nan -nan
41.00000 -nan -nan
42.00000 -nan -nan
43.00000 -nan -nan
44.00000 -nan -nan
45.00000 -nan -nan
46.00000 -nan -nan
47.00000 -nan -nan
48.00000 -nan -nan
49.00000 -nan -nan
50.00000 -nan -nan
51.00000 -nan -nan
52.00000 -nan -nan
53.00000 -nan -nan
54.00000 -nan -nan
55.00000 -nan -nan
56.00000 -nan -nan
57.00000 -nan -nan
58.00000 -nan -nan
59.00000 -nan -nan
60.00000 -nan -nan
61.00000 -nan -nan
62.00000 -nan -nan
63.00000 -nan -nan
64.00000 -nan -nan
65.00000 -nan -nan
66.00000 -nan -nan
67.00000 -nan -nan
68.00000 -nan -nan
69.00000 -nan -nan
70.00000 -nan -nan
71.00000 -nan -nan
72.00000 -nan -nan
73.00000 -nan -nan
74.00000 -nan -nan
75.00000 -nan -nan
76.00000 -nan -nan
77.00000 -nan -nan
78.00000 -nan -nan
79.00000 -nan -nan
80.00000 -nan -nan
81.00000 -nan -nan
82.00000 -nan -nan
83.00000 -nan -nan
84.00000 -nan -nan
85.00000 -nan -nan
86.00000 -nan -nan
87.00000 -nan -nan
88.00000 -nan -nan
89.00000 -nan -nan
90.00000 -nan -nan
91.00000 -nan -nan
92.00000 -nan -nan
93.00000 -nan -nan
94.00000 -nan -nan
95.00000 -nan -nan
96.00000 -nan -nan
97.00000 -nan -nan
98.00000 -nan -nan
99.00000 -nan -nan
100.00000 -nan -nan
101.00000 -nan -nan
102.00000 -nan -nan
103.00000 -nan -nan
104.00000 -nan -nan
105.00000 -nan -nan
106.00000 -nan -nan
107.00000 -nan -nan
108.00000 -nan -nan
109.00000 -nan -nan
110.00000 -nan -nan
111.00000 -nan -nan
112.00000 -nan -nan
113.00000 -nan -nan
114.00000 -nan -nan
115.00000 -nan -nan
116.00000 -nan -nan
117.00000 -nan -nan
118.00000 -nan -nan
119.00000 -nan -nan
120.00000 -nan -nan
121.00000 -nan -nan
122.00000 -nan -nan
123.00000 -nan -nan
124.00000 -nan -nan
125.00000 -nan -nan
126.00000 -nan -nan
127.00000 -nan -nan
128.00000 -nan -nan
129.00000 -nan -nan
130.00000 -nan -nan
131.00000 -nan -nan
132.00000 -nan -nan
133.00000 -nan -nan
134.00000 -nan -nan
135.00000 -nan -nan
136.00000 -nan -nan
137.00000 -nan -nan
138.00000 -nan -nan
139.00000 -nan -nan
140.00000 -nan -nan
141.00000 -nan -nan
142.00000 -nan -nan
143.00000 -nan -nan
144.00000 -nan -nan
145.00000 -nan -nan
146.00000 -nan -nan
147.00000 -nan -nan
148.00000 -nan -nan
149.00000 -nan -nan
150.00000 -nan -nan
151.00000 -nan -nan
152.00000 -nan -nan
153.00000 -nan -nan
154.00000 -nan -nan
155.00000 -nan -nan
156.00000 -nan -nan
157.00000 -nan -nan
158.00000 -nan -nan
159.00000 -nan -nan
160.00000 -nan -nan
161.00000 -nan -nan
162.00000 -nan -nan
163.00000 -nan -nan
164.00000 -nan -nan
165.00000 -nan -nan
166.00000 -nan -nan
167.00000 -nan -nan
168.00000 -nan -nan
169.00000 -nan -nan
170.00000 -nan -nan
171.00000 -nan -nan
172.00000 -nan -nan
173.00000 -nan -nan
174.00000 -nan -nan
175.00000 -nan -nan
176.00000 -nan -nan
177.00000 -nan -nan
178.00000 -nan -nan
179.00000 -nan -nan
180.00000 -nan -nan
181.00000 -nan -nan
182.00000 -nan -nan
183.00000 -nan -nan
184.00000 -nan -nan
185.00000 -nan -nan
186.00000 -nan -nan
187.00000 -nan -nan
188.00000 -nan -nan
189.00000 -nan -nan
190.00000 -nan -nan
191.00000 -nan -nan
192.00000 -nan -nan
193.00000 -nan -nan
194.00000 -nan -nan
195.00000 -nan -nan
196.00000 -nan -nan
197.00000 -nan -nan
198.00000 -nan -nan
199.00000 -nan -nan
200.00000 -nan
