# Tiempo: 0.000000
# k	zE	zH	Ex	Hy
36	36.0000000000	36.5000000000	0.0770513243	0.0750111070
37	37.0000000000	37.5000000000	0.0728968627	0.0707106781
38	38.0000000000	38.5000000000	0.0684547106	0.0661311865
39	39.0000000000	39.5000000000	0.0637423990	0.0612907054
40	40.0000000000	40.5000000000	0.0587785252	0.0562083378
41	41.0000000000	41.5000000000	0.0535826795	0.0509041416
42	42.0000000000	42.5000000000	0.0481753674	0.0453990500
43	43.0000000000	43.5000000000	0.0425779292	0.0397147891
44	44.0000000000	44.5000000000	0.0368124553	0.0338737920
45	45.0000000000	45.5000000000	0.0309016994	0.0278991106
46	46.0000000000	46.5000000000	0.0248689887	0.0218143241
47	47.0000000000	47.5000000000	0.0187381315	0.0156434465
48	48.0000000000	48.5000000000	0.0125333234	0.0094108313
49	49.0000000000	49.5000000000	0.0062790520	0.0031410759
50	50.0000000000	50.5000000000	0.0000000000	-0.0031410759
51	51.0000000000	51.5000000000	-0.0062790520	-0.0094108313
52	52.0000000000	52.5000000000	-0.0125333234	-0.0156434465
53	53.0000000000	53.5000000000	-0.0187381315	-0.0218143241
54	54.0000000000	54.5000000000	-0.0248689887	-0.0278991106
55	55.0000000000	55.5000000000	-0.0309016994	-0.0338737920
56	56.0000000000	56.5000000000	-0.0368124553	-0.0397147891
57	57.0000000000	57.5000000000	-0.0425779292	-0.0453990500
58	58.0000000000	58.5000000000	-0.0481753674	-0.0509041416
59	59.0000000000	59.5000000000	-0.0535826795	-0.0562083378
60	60.0000000000	60.5000000000	-0.0587785252	-0.0612907054
61	61.0000000000	61.5000000000	-0.0637423990	-0.0661311865
62	62.0000000000	62.5000000000	-0.0684547106	-0.0707106781
63	63.0000000000	63.5000000000	-0.0728968627	-0.0750111070
64	64.0000000000	64.5000000000	-0.0770513243	-0.0790155012
65	65.0000000000	65.5000000000	-0.0809016994	-0.0827080574
66	66.0000000000	66.5000000000	-0.0844327926	-0.0860742027
67	67.0000000000	67.5000000000	-0.0876306680	-0.0891006524
68	68.0000000000	68.5000000000	-0.0904827052	-0.0917754626
69	69.0000000000	69.5000000000	-0.0929776486	-0.0940880769
70	70.0000000000	70.5000000000	-0.0951056516	-0.0960293686
71	71.0000000000	71.5000000000	-0.0968583161	-0.0975916762
72	72.0000000000	72.5000000000	-0.0982287251	-0.0987688341
73	73.0000000000	73.5000000000	-0.0992114701	-0.0995561965
74	74.0000000000	74.5000000000	-0.0998026728	-0.0999506560
75	75.0000000000	75.5000000000	-0.1000000000	-0.0999506560
76	76.0000000000	76.5000000000	-0.0998026728	-0.0995561965
77	77.0000000000	77.5000000000	-0.0992114701	-0.0987688341
78	78.0000000000	78.5000000000	-0.0982287251	-0.0975916762
79	79.0000000000	79.5000000000	-0.0968583161	-0.0960293686
80	80.0000000000	80.5000000000	-0.0951056516	-0.0940880769
81	81.0000000000	81.5000000000	-0.0929776486	-0.0917754626
82	82.0000000000	82.5000000000	-0.0904827052	-0.0891006524
83	83.0000000000	83.5000000000	-0.0876306680	-0.0860742027
84	84.0000000000	84.5000000000	-0.0844327926	-0.0827080574
85	85.0000000000	85.5000000000	-0.0809016994	-0.0790155012
86	86.0000000000	86.5000000000	-0.0770513243	-0.0750111070
87	87.0000000000	87.5000000000	-0.0728968627	-0.0707106781
88	88.0000000000	88.5000000000	-0.0684547106	-0.0661311865
89	89.0000000000	89.5000000000	-0.0637423990	-0.0612907054
90	90.0000000000	90.5000000000	-0.0587785252	-0.0562083378
91	91.0000000000	91.5000000000	-0.0535826795	-0.0509041416
92	92.0000000000	92.5000000000	-0.0481753674	-0.0453990500
93	93.0000000000	93.5000000000	-0.0425779292	-0.0397147891
94	94.0000000000	94.5000000000	-0.0368124553	-0.0338737920
95	95.0000000000	95.5000000000	-0.0309016994	-0.0278991106
96	96.0000000000	96.5000000000	-0.0248689887	-0.0218143241
97	97.0000000000	97.5000000000	-0.0187381315	-0.0156434465
98	98.0000000000	98.5000000000	-0.0125333234	-0.0094108313
99	99.0000000000	99.5000000000	-0.0062790520	-0.0031410759
100	100.0000000000	100.5000000000	-0.0000000000	0.0031410759
101	101.0000000000	101.5000000000	0.0062790520	0.0094108313
102	102.0000000000	102.5000000000	0.0125333234	0.0156434465
103	103.0000000000	103.5000000000	0.0187381315	0.0218143241
104	104.0000000000	104.5000000000	0.0248689887	0.0278991106
105	105.0000000000	105.5000000000	0.0309016994	0.0338737920
106	106.0000000000	106.5000000000	0.0368124553	0.0397147891
107	107.0000000000	107.5000000000	0.0425779292	0.0453990500
108	108.0000000000	108.5000000000	0.0481753674	0.0509041416
109	109.0000000000	109.5000000000	0.0535826795	0.0562083378
110	110.0000000000	110.5000000000	0.0587785252	0.0612907054
111	111.0000000000	111.5000000000	0.0637423990	0.0661311865
112	112.0000000000	112.5000000000	0.0684547106	0.0707106781
113	113.0000000000	113.5000000000	0.0728968627	0.0750111070
114	114.0000000000	114.5000000000	0.0770513243	0.0790155012
115	115.0000000000	115.5000000000	0.0809016994	0.0827080574
116	116.0000000000	116.5000000000	0.0844327926	0.0860742027
117	117.0000000000	117.5000000000	0.0876306680	0.0891006524
118	118.0000000000	118.5000000000	0.0904827052	0.0917754626
119	119.0000000000	119.5000000000	0.0929776486	0.0940880769
120	120.0000000000	120.5000000000	0.0951056516	0.0960293686
121	121.0000000000	121.5000000000	0.0968583161	0.0975916762
122	122.0000000000	122.5000000000	0.0982287251	0.0987688341
123	123.0000000000	123.5000000000	0.0992114701	0.0995561965
124	124.0000000000	124.5000000000	0.0998026728	0.0999506560
125	125.0000000000	125.5000000000	0.1000000000	0.0999506560
126	126.0000000000	126.5000000000	0.0998026728	0.0995561965
127	127.0000000000	127.5000000000	0.0992114701	0.0987688341
128	128.0000000000	128.5000000000	0.0982287251	0.0975916762
129	129.0000000000	129.5000000000	0.0968583161	0.0960293686
130	130.0000000000	130.5000000000	0.0951056516	0.0940880769
131	131.0000000000	131.5000000000	0.0929776486	0.0917754626
132	132.0000000000	132.5000000000	0.0904827052	0.0891006524
133	133.0000000000	133.5000000000	0.0876306680	0.0860742027
134	134.0000000000	134.5000000000	0.0844327926	0.0827080574
135	135.0000000000	135.5000000000	0.0809016994	0.0790155012
136	136.0000000000	136.5000000000	0.0770513243	0.0750111070
137	137.0000000000	137.5000000000	0.0728968627	0.0707106781
138	138.0000000000	138.5000000000	0.0684547106	0.0661311865
139	139.0000000000	139.5000000000	0.0637423990	0.0612907054
140	140.0000000000	140.5000000000	0.0587785252	0.0562083378
141	141.0000000000	141.5000000000	0.0535826795	0.0509041416
142	142.0000000000	142.5000000000	0.0481753674	0.0453990500
143	143.0000000000	143.5000000000	0.0425779292	0.0397147891
144	144.0000000000	144.5000000000	0.0368124553	0.0338737920
145	145.0000000000	145.5000000000	0.0309016994	0.0278991106
146	146.0000000000	146.5000000000	0.0248689887	0.0218143241
147	147.0000000000	147.5000000000	0.0187381315	0.0156434465
148	148.0000000000	148.5000000000	0.0125333234	0.0094108313
149	149.0000000000	149.5000000000	0.0062790520	0.0031410759
150	150.0000000000	150.5000000000	0.0000000000	-0.0031410759
151	151.0000000000	151.5000000000	-0.0062790520	-0.0094108313
152	152.0000000000	152.5000000000	-0.0125333234	-0.0156434465
153	153.0000000000	153.5000000000	-0.0187381315	-0.0218143241
154	154.0000000000	154.5000000000	-0.0248689887	-0.0278991106
155	155.0000000000	155.5000000000	-0.0309016994	-0.0338737920
156	156.0000000000	156.5000000000	-0.0368124553	-0.0397147891
157	157.0000000000	157.5000000000	-0.0425779292	-0.0453990500
158	158.0000000000	158.5000000000	-0.0481753674	-0.0509041416
159	159.0000000000	159.5000000000	-0.0535826795	-0.0562083378
160	160.0000000000	160.5000000000	-0.0587785252	-0.0612907054
161	161.0000000000	161.5000000000	-0.0637423990	-0.0661311865
162	162.0000000000	162.5000000000	-0.0684547106	-0.0707106781
163	163.0000000000	163.5000000000	-0.0728968627	-0.0750111070
164	164.0000000000	164.5000000000	-0.0770513243	-0.0790155012
165	165.0000000000	165.5000000000	-0.0809016994	-0.0827080574
166	166.0000000000	166.5000000000	-0.0844327926	-0.0860742027
167	167.0000000000	167.5000000000	-0.0876306680	-0.0891006524
168	168.0000000000	168.5000000000	-0.0904827052	-0.0917754626
169	169.0000000000	169.5000000000	-0.0929776486	-0.0940880769
170	170.0000000000	170.5000000000	-0.0951056516	-0.0960293686
171	171.0000000000	171.5000000000	-0.0968583161	-0.0975916762
172	172.0000000000	172.5000000000	-0.0982287251	-0.0987688341
173	173.0000000000	173.5000000000	-0.0992114701	-0.0995561965
174	174.0000000000	174.5000000000	-0.0998026728	-0.0999506560
175	175.0000000000	175.5000000000	-0.1000000000	-0.0999506560
176	176.0000000000	176.5000000000	-0.0998026728	-0.0995561965
177	177.0000000000	177.5000000000	-0.0992114701	-0.0987688341
178	178.0000000000	178.5000000000	-0.0982287251	-0.0975916762
179	179.0000000000	179.5000000000	-0.0968583161	-0.0960293686
180	180.0000000000	180.5000000000	-0.0951056516	-0.0940880769
181	181.0000000000	181.5000000000	-0.0929776486	-0.0917754626
182	182.0000000000	182.5000000000	-0.0904827052	-0.0891006524
183	183.0000000000	183.5000000000	-0.0876306680	-0.0860742027
184	184.0000000000	184.5000000000	-0.0844327926	-0.0827080574
185	185.0000000000	185.5000000000	-0.0809016994	-0.0790155012
186	186.0000000000	186.5000000000	-0.0770513243	-0.0750111070
187	187.0000000000	187.5000000000	-0.0728968627	-0.0707106781
188	188.0000000000	188.5000000000	-0.0684547106	-0.0661311865
189	189.0000000000	189.5000000000	-0.0637423990	-0.0612907054
190	190.0000000000	190.5000000000	-0.0587785252	-0.0562083378
191	191.0000000000	191.5000000000	-0.0535826795	-0.0509041416
192	192.0000000000	192.5000000000	-0.0481753674	-0.0453990500
193	193.0000000000	193.5000000000	-0.0425779292	-0.0397147891
194	194.0000000000	194.5000000000	-0.0368124553	-0.0338737920
195	195.0000000000	195.5000000000	-0.0309016994	-0.0278991106
196	196.0000000000	196.5000000000	-0.0248689887	-0.0218143241
197	197.0000000000	197.5000000000	-0.0187381315	-0.0156434465
198	198.0000000000	198.5000000000	-0.0125333234	-0.0094108313
199	199.0000000000	199.5000000000	-0.0062790520	-0.0031410759

# Tiempo: 3.750000
# k	zE	zH	Ex	Hy
0	0.0000000000	0.5000000000	0.0000000000	0.0000000000
1	1.0000000000	1.5000000000	-0.0069582822	0.0066978965
2	2.0000000000	2.5000000000	0.0005522414	-0.0002443518
3	3.0000000000	3.5000000000	-0.0069385795	0.0071320613
4	4.0000000000	4.5000000000	0.0010374538	-0.0013076474
5	5.0000000000	5.5000000000	-0.0075565502	0.0062637208
6	6.0000000000	6.5000000000	-0.0003760216	-0.0019684628
7	7.0000000000	7.5000000000	-0.0007924148	0.0047196827
8	8.0000000000	8.5000000000	0.0057909870	0.0050840062
9	9.0000000000	9.5000000000	0.0113120067	0.0112255323
10	10.0000000000	10.5000000000	0.0177308391	0.0165431105
11	11.0000000000	11.5000000000	0.0240796960	0.0225022426
12	12.0000000000	12.5000000000	0.0303335213	0.0283725687
13	13.0000000000	13.5000000000	0.0364676341	0.0341309212
14	14.0000000000	14.5000000000	0.0424578257	0.0397545745
15	15.0000000000	15.5000000000	0.0482804558	0.0452213347
16	16.0000000000	16.5000000000	0.0539125449	0.0505096270
17	17.0000000000	17.5000000000	0.0593318658	0.0555985808
18	18.0000000000	18.5000000000	0.0645170310	0.0604681124
19	19.0000000000	19.5000000000	0.0694475769	0.0650990040
20	20.0000000000	20.5000000000	0.0741040450	0.0694729796
21	21.0000000000	21.5000000000	0.0784680583	0.0735727771
22	22.0000000000	22.5000000000	0.0825223939	0.0773822164
23	23.0000000000	23.5000000000	0.0862510514	0.0808862635
24	24.0000000000	24.5000000000	0.0896393154	0.0840710895
25	25.0000000000	25.5000000000	0.0926738140	0.0869241252
26	26.0000000000	26.5000000000	0.0953425714	0.0894341112
27	27.0000000000	27.5000000000	0.0976350552	0.0915911416
28	28.0000000000	28.5000000000	0.0995422180	0.0933867035
29	29.0000000000	29.5000000000	0.1010565332	0.0948137109
30	30.0000000000	30.5000000000	0.1021720244	0.0958665318
31	31.0000000000	31.5000000000	0.1028842893	0.0965410113
32	32.0000000000	32.5000000000	0.1031905169	0.0968344876
33	33.0000000000	33.5000000000	0.1030894987	0.0967458024
34	34.0000000000	34.5000000000	0.1025816333	0.0962753057
35	35.0000000000	35.5000000000	0.1016689251	0.0954248543
36	36.0000000000	36.5000000000	0.1003549761	0.0941978047
37	37.0000000000	37.5000000000	0.0986449719	0.0925989993
38	38.0000000000	38.5000000000	0.0965456610	0.0906347480
39	39.0000000000	39.5000000000	0.0940653285	0.0883128028
40	40.0000000000	40.5000000000	0.0912137632	0.0856423273
41	41.0000000000	41.5000000000	0.0880022187	0.0826338606
42	42.0000000000	42.5000000000	0.0844433697	0.0792992758
43	43.0000000000	43.5000000000	0.0805512614	0.0756517330
44	44.0000000000	44.5000000000	0.0763412540	0.0717056274
45	45.0000000000	45.5000000000	0.0718299625	0.0674765325
46	46.0000000000	46.5000000000	0.0670351910	0.0629811385
47	47.0000000000	47.5000000000	0.0619758622	0.0582371867
48	48.0000000000	48.5000000000	0.0566719430	0.0532633993
49	49.0000000000	49.5000000000	0.0511443655	0.0480794057
50	50.0000000000	50.5000000000	0.0454149446	0.0427056646
51	51.0000000000	51.5000000000	0.0395062917	0.0371633837
52	52.0000000000	52.5000000000	0.0334417255	0.0314744359
53	53.0000000000	53.5000000000	0.0272451800	0.0256612730
54	54.0000000000	54.5000000000	0.0209411103	0.0197468367
55	55.0000000000	55.5000000000	0.0145543956	0.0137544686
56	56.0000000000	56.5000000000	0.0081102413	0.0077078180
57	57.0000000000	57.5000000000	0.0016340796	0.0016307481
58	58.0000000000	58.5000000000	-0.0048485310	-0.0044527576
59	59.0000000000	59.5000000000	-0.0113120067	-0.0105186903
60	60.0000000000	60.5000000000	-0.0177308391	-0.0165431105
61	61.0000000000	61.5000000000	-0.0240796960	-0.0225022426
62	62.0000000000	62.5000000000	-0.0303335213	-0.0283725687
63	63.0000000000	63.5000000000	-0.0364676341	-0.0341309212
64	64.0000000000	64.5000000000	-0.0424578257	-0.0397545745
65	65.0000000000	65.5000000000	-0.0482804558	-0.0452213347
66	66.0000000000	66.5000000000	-0.0539125449	-0.0505096270
67	67.0000000000	67.5000000000	-0.0593318658	-0.0555985808
68	68.0000000000	68.5000000000	-0.0645170310	-0.0604681124
69	69.0000000000	69.5000000000	-0.0694475769	-0.0650990040
70	70.0000000000	70.5000000000	-0.0741040450	-0.0694729796
71	71.0000000000	71.5000000000	-0.0784680583	-0.0735727771
72	72.0000000000	72.5000000000	-0.0825223939	-0.0773822164
73	73.0000000000	73.5000000000	-0.0862510514	-0.0808862635
74	74.0000000000	74.5000000000	-0.0896393154	-0.0840710895
75	75.0000000000	75.5000000000	-0.0926738140	-0.0869241252
76	76.0000000000	76.5000000000	-0.0953425714	-0.0894341112
77	77.0000000000	77.5000000000	-0.0976350552	-0.0915911416
78	78.0000000000	78.5000000000	-0.0995422180	-0.0933867035
79	79.0000000000	79.5000000000	-0.1010565332	-0.0948137109
80	80.0000000000	80.5000000000	-0.1021720244	-0.0958665318
81	81.0000000000	81.5000000000	-0.1028842893	-0.0965410113
82	82.0000000000	82.5000000000	-0.1031905169	-0.0968344876
83	83.0000000000	83.5000000000	-0.1030894987	-0.0967458024
84	84.0000000000	84.5000000000	-0.1025816333	-0.0962753057
85	85.0000000000	85.5000000000	-0.1016689251	-0.0954248543
86	86.0000000000	86.5000000000	-0.1003549761	-0.0941978047
87	87.0000000000	87.5000000000	-0.0986449719	-0.0925989993
88	88.0000000000	88.5000000000	-0.0965456610	-0.0906347480
89	89.0000000000	89.5000000000	-0.0940653285	-0.0883128028
90	90.0000000000	90.5000000000	-0.0912137632	-0.0856423273
91	91.0000000000	91.5000000000	-0.0880022187	-0.0826338606
92	92.0000000000	92.5000000000	-0.0844433697	-0.0792992758
93	93.0000000000	93.5000000000	-0.0805512614	-0.0756517330
94	94.0000000000	94.5000000000	-0.0763412540	-0.0717056274
95	95.0000000000	95.5000000000	-0.0718299625	-0.0674765325
96	96.0000000000	96.5000000000	-0.0670351910	-0.0629811385
97	97.0000000000	97.5000000000	-0.0619758622	-0.0582371867
98	98.0000000000	98.5000000000	-0.0566719430	-0.0532633993
99	99.0000000000	99.5000000000	-0.0511443655	-0.0480794057
100	100.0000000000	100.5000000000	-0.0454149446	-0.0427056646
101	101.0000000000	101.5000000000	-0.0395062917	-0.0371633837
102	102.0000000000	102.5000000000	-0.0334417255	-0.0314744359
103	103.0000000000	103.5000000000	-0.0272451800	-0.0256612730
104	104.0000000000	104.5000000000	-0.0209411103	-0.0197468367
105	105.0000000000	105.5000000000	-0.0145543956	-0.0137544686
106	106.0000000000	106.5000000000	-0.0081102413	-0.0077078180
107	107.0000000000	107.5000000000	-0.0016340796	-0.0016307481
108	108.0000000000	108.5000000000	0.0048485310	0.0044527576
109	109.0000000000	109.5000000000	0.0113120067	0.0105186903
110	110.0000000000	110.5000000000	0.0177308391	0.0165431105
111	111.0000000000	111.5000000000	0.0240796960	0.0225022426
112	112.0000000000	112.5000000000	0.0303335213	0.0283725687
113	113.0000000000	113.5000000000	0.0364676341	0.0341309212
114	114.0000000000	114.5000000000	0.0424578257	0.0397545745
115	115.0000000000	115.5000000000	0.0482804558	0.0452213347
116	116.0000000000	116.5000000000	0.0539125449	0.0505096270
117	117.0000000000	117.5000000000	0.0593318658	0.0555985808
118	118.0000000000	118.5000000000	0.0645170310	0.0604681124
119	119.0000000000	119.5000000000	0.0694475769	0.0650990040
120	120.0000000000	120.5000000000	0.0741040450	0.0694729796
121	121.0000000000	121.5000000000	0.0784680583	0.0735727771
122	122.0000000000	122.5000000000	0.0825223939	0.0773822164
123	123.0000000000	123.5000000000	0.0862510514	0.0808862635
124	124.0000000000	124.5000000000	0.0896393154	0.0840710895
125	125.0000000000	125.5000000000	0.0926738140	0.0869241252
126	126.0000000000	126.5000000000	0.0953425714	0.0894341112
127	127.0000000000	127.5000000000	0.0976350552	0.0915911416
128	128.0000000000	128.5000000000	0.0995422180	0.0933867035
129	129.0000000000	129.5000000000	0.1010565332	0.0948137109
130	130.0000000000	130.5000000000	0.1021720244	0.0958665318
131	131.0000000000	131.5000000000	0.1028842893	0.0965410113
132	132.0000000000	132.5000000000	0.1031905169	0.0968344876
133	133.0000000000	133.5000000000	0.1030894987	0.0967458024
134	134.0000000000	134.5000000000	0.1025816333	0.0962753057
135	135.0000000000	135.5000000000	0.1016689251	0.0954248543
136	136.0000000000	136.5000000000	0.1003549761	0.0941978047
137	137.0000000000	137.5000000000	0.0986449719	0.0925989993
138	138.0000000000	138.5000000000	0.0965456610	0.0906347480
139	139.0000000000	139.5000000000	0.0940653285	0.0883128028
140	140.0000000000	140.5000000000	0.0912137632	0.0856423273
141	141.0000000000	141.5000000000	0.0880022187	0.0826338606
142	142.0000000000	142.5000000000	0.0844433697	0.0792992758
143	143.0000000000	143.5000000000	0.0805512614	0.0756517330
144	144.0000000000	144.5000000000	0.0763412540	0.0717056274
145	145.0000000000	145.5000000000	0.0718299625	0.0674765325
146	146.0000000000	146.5000000000	0.0670351910	0.0629811385
147	147.0000000000	147.5000000000	0.0619758622	0.0582371867
148	148.0000000000	148.5000000000	0.0566719430	0.0532633993
149	149.0000000000	149.5000000000	0.0511443655	0.0480794057
150	150.0000000000	150.5000000000	0.0454149446	0.0427056646
151	151.0000000000	151.5000000000	0.0395062917	0.0371633837
152	152.0000000000	152.5000000000	0.0334417255	0.0314744359
153	153.0000000000	153.5000000000	0.0272451800	0.0256612730
154	154.0000000000	154.5000000000	0.0209411103	0.0197468367
155	155.0000000000	155.5000000000	0.0145543956	0.0137544686
156	156.0000000000	156.5000000000	0.0081102413	0.0077078180
157	157.0000000000	157.5000000000	0.0016340796	0.0016307481
158	158.0000000000	158.5000000000	-0.0048485310	-0.0044527576
159	159.0000000000	159.5000000000	-0.0113120067	-0.0105186903
160	160.0000000000	160.5000000000	-0.0177308391	-0.0165431105
161	161.0000000000	161.5000000000	-0.0240796960	-0.0225022426
162	162.0000000000	162.5000000000	-0.0303335213	-0.0283725687
163	163.0000000000	163.5000000000	-0.0364676341	-0.0341309212
164	164.0000000000	164.5000000000	-0.0424578257	-0.0397545745
165	165.0000000000	165.5000000000	-0.0482804558	-0.0452213347
166	166.0000000000	166.5000000000	-0.0539125449	-0.0505096270
167	167.0000000000	167.5000000000	-0.0593318658	-0.0555985808
168	168.0000000000	168.5000000000	-0.0645170310	-0.0604681124
169	169.0000000000	169.5000000000	-0.0694475769	-0.0650990040
170	170.0000000000	170.5000000000	-0.0741040450	-0.0694729796
171	171.0000000000	171.5000000000	-0.0784680583	-0.0735727771
172	172.0000000000	172.5000000000	-0.0825223939	-0.0773822164
173	173.0000000000	173.5000000000	-0.0862510514	-0.0808862635
174	174.0000000000	174.5000000000	-0.0896393154	-0.0840710895
175	175.0000000000	175.5000000000	-0.0926738140	-0.0869241252
176	176.0000000000	176.5000000000	-0.0953425714	-0.0894341112
177	177.0000000000	177.5000000000	-0.0976350552	-0.0915911416
178	178.0000000000	178.5000000000	-0.0995422180	-0.0933867035
179	179.0000000000	179.5000000000	-0.1010565332	-0.0948137109
180	180.0000000000	180.5000000000	-0.1021720244	-0.0958665318
181	181.0000000000	181.5000000000	-0.1028842893	-0.0965410113
182	182.0000000000	182.5000000000	-0.1031905169	-0.0968344876
183	183.0000000000	183.5000000000	-0.1030894987	-0.0967458024
184	184.0000000000	184.5000000000	-0.1025816333	-0.0962753057
185	185.0000000000	185.5000000000	-0.1016689251	-0.0954248543
186	186.0000000000	186.5000000000	-0.1003549761	-0.0941978047
187	187.0000000000	187.5000000000	-0.0986449719	-0.0925989993
188	188.0000000000	188.5000000000	-0.0965456610	-0.0906347480
189	189.0000000000	189.5000000000	-0.0940653285	-0.0883128028
190	190.0000000000	190.5000000000	-0.0912137632	-0.0868206299
191	191.0000000000	191.5000000000	-0.0864311485	-0.0813811272
192	192.0000000000	192.5000000000	-0.0861136809	-0.0890472650
193	193.0000000000	193.5000000000	-0.0687758860	-0.0659302816
194	194.0000000000	194.5000000000	-0.0880040584	-0.0988495051
195	195.0000000000	195.5000000000	-0.0426244068	-0.0419802838
196	196.0000000000	196.5000000000	-0.0942686850	-0.1017851401
197	197.0000000000	197.5000000000	-0.0222221709	-0.0215128850
198	198.0000000000	198.5000000000	-0.0946801948	-0.1028379876
199	199.0000000000	199.5000000000	0.0000000000	0.0000000000

# Tiempo: 7.500000
# k	zE	zH	Ex	Hy
0	0.0000000000	0.5000000000	0.0000000000	0.0000000000
1	1.0000000000	1.5000000000	-0.0047097047	0.0044192760
2	2.0000000000	2.5000000000	0.0006632789	-0.0009195072
3	3.0000000000	3.5000000000	-0.0044543698	0.0040969575
4	4.0000000000	4.5000000000	0.0018051536	-0.0014082844
5	5.0000000000	5.5000000000	-0.0046045209	0.0045046059
6	6.0000000000	6.5000000000	0.0021033744	-0.0027208554
7	7.0000000000	7.5000000000	-0.0042334285	0.0035063489
8	8.0000000000	8.5000000000	0.0029390553	-0.0029147789
9	9.0000000000	9.5000000000	-0.0033436274	0.0039011079
10	10.0000000000	10.5000000000	0.0046546729	-0.0034408255
11	11.0000000000	11.5000000000	-0.0050600612	0.0041063860
12	12.0000000000	12.5000000000	0.0027136567	-0.0061601310
13	13.0000000000	13.5000000000	-0.0030631308	0.0010209267
14	14.0000000000	14.5000000000	0.0039504565	-0.0041390868
15	15.0000000000	15.5000000000	0.0059033708	0.0023244571
16	16.0000000000	16.5000000000	0.0124950419	0.0045405234
17	17.0000000000	17.5000000000	0.0181542010	0.0106508043
18	18.0000000000	18.5000000000	0.0245485107	0.0160225034
19	19.0000000000	19.5000000000	0.0307873992	0.0219670261
20	20.0000000000	20.5000000000	0.0369578570	0.0277809503
21	21.0000000000	21.5000000000	0.0429824589	0.0335250406
22	22.0000000000	22.5000000000	0.0488374288	0.0391368228
23	23.0000000000	23.5000000000	0.0544996596	0.0445941499
24	24.0000000000	24.5000000000	0.0599468051	0.0498754843
25	25.0000000000	25.5000000000	0.0651573680	0.0549599829
26	26.0000000000	26.5000000000	0.0701107846	0.0598275796
27	27.0000000000	27.5000000000	0.0747875059	0.0644590641
28	28.0000000000	28.5000000000	0.0791690751	0.0688361582
29	29.0000000000	29.5000000000	0.0832382001	0.0729415874
30	30.0000000000	30.5000000000	0.0869788219	0.0767591495
31	31.0000000000	31.5000000000	0.0903761781	0.0802737783
32	32.0000000000	32.5000000000	0.0934168608	0.0834716031
33	33.0000000000	33.5000000000	0.0960888699	0.0863400037
34	34.0000000000	34.5000000000	0.0983816600	0.0888676597
35	35.0000000000	35.5000000000	0.1002861827	0.0910445957
36	36.0000000000	36.5000000000	0.1017949217	0.0928622202
37	37.0000000000	37.5000000000	0.1029019226	0.0943133600
38	38.0000000000	38.5000000000	0.1036028166	0.0953922880
39	39.0000000000	39.5000000000	0.1038948376	0.0960947463
40	40.0000000000	40.5000000000	0.1037768332	0.0964179625
41	41.0000000000	41.5000000000	0.1032492690	0.0963606610
42	42.0000000000	42.5000000000	0.1023142272	0.0959230681
43	43.0000000000	43.5000000000	0.1009753978	0.0951069106
44	44.0000000000	44.5000000000	0.0992380646	0.0939154096
45	45.0000000000	45.5000000000	0.0971090842	0.0923532674
46	46.0000000000	46.5000000000	0.0945968586	0.0904266490
47	47.0000000000	47.5000000000	0.0917113023	0.0881431579
48	48.0000000000	48.5000000000	0.0884638035	0.0855118061
